iter	MultiClass	Accuracy
0	2.682767454	0.3756860947
1	1.943129747	0.5350186204
2	1.597276172	0.6266576135
3	1.397554315	0.6652029979
4	1.278310186	0.6811677871
5	1.154304431	0.7134489218
6	1.068909224	0.7320848491
7	0.9744619811	0.7559148476
8	0.9018245273	0.7734271736
9	0.8460763674	0.7895263814
10	0.8057259184	0.7975294558
11	0.7645923305	0.8076573774
12	0.7256947436	0.8169563846
13	0.6937815367	0.8251714267
14	0.6663650507	0.8307429038
15	0.6420861287	0.8350150015
16	0.6126021495	0.8411517258
17	0.5909419122	0.8460631733
18	0.5727004625	0.8497907034
19	0.5520347933	0.8547417871
20	0.5360982772	0.8586295855
21	0.5183553501	0.8632187731
22	0.504543412	0.8665361543
23	0.4919391946	0.8695622952
24	0.4785690175	0.8723351089
25	0.4631812695	0.8758334382
26	0.4541712406	0.8771586673
27	0.4475362359	0.8782960552
28	0.4387481647	0.8806707831
29	0.4309704406	0.8825767694
30	0.4216816118	0.8842311517
31	0.4144850487	0.8859389567
32	0.4067716259	0.8877294809
33	0.3994250806	0.8893149306
34	0.3952415721	0.8905005713
35	0.387197569	0.8920412148
36	0.3783059104	0.8939868373
37	0.3742405567	0.8949105341
38	0.3608581279	0.8973628112
39	0.3535089169	0.8994583621
40	0.3477785986	0.9008835435
41	0.3423676591	0.9018813429
42	0.3382897575	0.9029377349
43	0.3347008735	0.903797669
44	0.3308224725	0.904519738
45	0.3259212841	0.9056778056
46	0.3199890957	0.907289105
47	0.3137670134	0.9088711081
48	0.3112468808	0.909379486
49	0.3090591056	0.9099516266
50	0.3050035802	0.9105323837
51	0.301418412	0.9118627828
52	0.2991089277	0.9124366466
53	0.2944989527	0.9138359783
54	0.2907323517	0.9147321021
55	0.2863899752	0.9158746599
56	0.2833756012	0.9167208075
57	0.2805123943	0.9172998413
58	0.2783344205	0.9177513498
59	0.2739884895	0.9188680578
60	0.2725609116	0.9192540804
61	0.2689892607	0.9202742828
62	0.2665669262	0.9211187071
63	0.2643363644	0.9215357493
64	0.2623235056	0.9219820879
65	0.2602060632	0.92240947
66	0.2562983121	0.9234124392
67	0.2549813225	0.923717466
68	0.2531058981	0.924341306
69	0.2522588889	0.9245429338
70	0.2495372092	0.9254235477
71	0.2482080487	0.92583025
72	0.2463942867	0.9263558611
73	0.2435799519	0.9271899455
74	0.2418683502	0.9276776436
75	0.2403275182	0.9279016745
76	0.2386042571	0.9284410721
77	0.2371236873	0.9288029682
78	0.2353852395	0.9290907618
79	0.2319595857	0.9303367185
80	0.2285632551	0.9311983759
81	0.2261534147	0.931877362
82	0.224341551	0.9324787989
83	0.2231851798	0.9327217863
84	0.22045452	0.9334180055
85	0.219338162	0.9335920603
86	0.2179467737	0.9340487388
87	0.2159296471	0.934679472
88	0.2140611429	0.9351533836
89	0.2125967157	0.9354997699
90	0.2109977622	0.9358806225
91	0.2100375392	0.9360753571
92	0.2087337168	0.936588905
93	0.2079354181	0.9367888095
94	0.2069986618	0.9370800497
95	0.205803718	0.9373316537
96	0.2048609166	0.9375074318
97	0.2038261064	0.9377797155
98	0.2024819881	0.9381657381
99	0.2014192548	0.938394939
100	0.2005440936	0.9385845036
101	0.2000876306	0.938734432
102	0.1991121266	0.9390842649
103	0.1984653585	0.9391221779
104	0.1971949657	0.9395633465
105	0.1966103311	0.9396632987
106	0.195874893	0.9398649266
107	0.1936656033	0.9403888143
108	0.1933170629	0.9405146163
109	0.1923148072	0.9408006866
110	0.191566902	0.940950615
111	0.1904964946	0.9413004479
112	0.1898923111	0.9413935069
113	0.1885984921	0.941788146
114	0.1877557238	0.9419260112
115	0.1858610871	0.9424791953
116	0.1847617065	0.9427980085
117	0.183800945	0.9429944664
118	0.1832009217	0.9431185451
119	0.1825127132	0.9434925044
120	0.1814978019	0.943780298
121	0.1804031065	0.9439905424
122	0.1797260457	0.9442162967
123	0.1786024309	0.9446040426
124	0.1775705827	0.944776374
125	0.1771017064	0.9449004527
126	0.176363064	0.9450624443
127	0.1755892014	0.9452003095
128	0.174200425	0.9456707745
129	0.1736974594	0.9458603391
130	0.1726705252	0.9461481327
131	0.1719478235	0.9462791046
132	0.1710237094	0.9465376019
133	0.1701672219	0.9467823126
134	0.1693977752	0.9469701539
135	0.1689433856	0.9471959082
136	0.1680679281	0.9473441132
137	0.1672693602	0.9475371245
138	0.1664732021	0.947862831
139	0.166093117	0.9479800164
140	0.1647967264	0.9483918887
141	0.1642577327	0.9485056275
142	0.1639762131	0.9485728368
143	0.1633824234	0.9487038087
144	0.1621607143	0.9490484717
145	0.1614548284	0.949175997
146	0.1611028009	0.9493035223
147	0.1606489632	0.9494241543
148	0.1601190708	0.9495775294
149	0.159784667	0.9496947148
150	0.1592894563	0.9497739873
151	0.1585583399	0.9500324845
152	0.1581779316	0.950073844
153	0.1576397727	0.9501737963
154	0.1571720946	0.950330618
155	0.1565799071	0.9505270759
156	0.1555918687	0.9508200394
157	0.1551422451	0.9509096518
158	0.1545891687	0.951102663
159	0.1540568394	0.9513042909
160	0.1536773601	0.951447326
161	0.1533195165	0.9514921322
162	0.1526131593	0.9517023766
163	0.1519174786	0.9518695382
164	0.1511926766	0.9521142489
165	0.1506923633	0.9523176
166	0.1502951392	0.9523796394
167	0.1499773492	0.9524244456
168	0.1495447164	0.9524933782
169	0.1491381083	0.9525812672
170	0.1485002125	0.9527294723
171	0.1480537797	0.9529431634
172	0.1477160908	0.9529862462
173	0.1473473822	0.9531258347
174	0.146992837	0.9532137238
175	0.1462479746	0.9534704977
176	0.1459746272	0.9535135806
177	0.145757853	0.9535738966
178	0.1454496355	0.9536790188
179	0.1450249595	0.9538082674
180	0.1442230796	0.9539082197
181	0.1439666826	0.9539909388
182	0.1433752894	0.95419429
183	0.1425401414	0.9544165976
184	0.1421248494	0.9544820836
185	0.1417596413	0.9545320597
186	0.1411512977	0.9547147311
187	0.1407599436	0.9547871103
188	0.1403398722	0.9549508252
189	0.1400951345	0.9550283744
190	0.1395479282	0.9551696862
191	0.1391462477	0.9552885949
192	0.1387261089	0.9553747607
193	0.1384556697	0.9554454166
194	0.1382286095	0.9554936694
195	0.1374994588	0.95575389
196	0.1372685211	0.9558073127
197	0.1368923942	0.9558659054
198	0.136646566	0.9559761976
199	0.1364842782	0.9560313437
200	0.1361351723	0.9561140628
201	0.1354897505	0.9563277538
202	0.1351640844	0.9563518802
203	0.1348248606	0.956470789
204	0.1345481339	0.9565776345
205	0.134232148	0.9566862033
206	0.1333279327	0.9570946289
207	0.1330141682	0.9571859646
208	0.1328174545	0.9572324941
209	0.1323542059	0.9573479562
210	0.132186627	0.9573962091
211	0.1319224213	0.9574875447
212	0.131595907	0.9575754338
213	0.1313222634	0.9576305799
214	0.1307624554	0.9577667218
215	0.1305629413	0.9578442709
216	0.1303434206	0.9578925237
217	0.1300602853	0.9579459465
218	0.1298309229	0.9580166024
219	0.1294604102	0.9581355111
220	0.1292014687	0.9582251235
221	0.128817156	0.9583629887
222	0.1282149651	0.9585146404
223	0.1278483433	0.958588743
224	0.1276886809	0.9586680154
225	0.1272409018	0.9587317781
226	0.1268425602	0.958769691
227	0.1264686278	0.95886275
228	0.1261999926	0.9589592557
229	0.125996076	0.9590350815
230	0.1256784475	0.9591557136
231	0.1253599978	0.9592918554
232	0.1244256111	0.9596279018
233	0.1241813716	0.9596933878
234	0.1238936588	0.9597830002
235	0.1236647541	0.9598795058
236	0.1234814499	0.9599088022
237	0.1232796067	0.9600277109
238	0.1231433975	0.9600363275
239	0.1227706768	0.9602310621
240	0.1225541853	0.9602879315
241	0.1222690979	0.9603413542
242	0.1221172038	0.9603758205
243	0.1219883322	0.9604068402
244	0.1217082262	0.9605085158
245	0.1215179345	0.9605515986
246	0.121211171	0.9606515509
247	0.1210026095	0.9607239301
248	0.1208607457	0.9607325467
249	0.1206937188	0.9607980327
250	0.1200722349	0.9609358979
251	0.1197294029	0.961073763
252	0.1192538892	0.9612219681
253	0.1191180974	0.9613391535
254	0.1187488368	0.9614080861
255	0.1184768492	0.9615132083
256	0.1181265451	0.9616441803
257	0.1179076975	0.9617889387
258	0.1177916565	0.9618337449
259	0.1176439361	0.961856148
260	0.117127009	0.9620336494
261	0.1168677982	0.9620819023
262	0.1167009867	0.9620784556
263	0.1165499947	0.9621422183
264	0.1161476949	0.9622628503
265	0.1155646759	0.9625058377
266	0.1154406376	0.9625747703
267	0.1152299758	0.9626109599
268	0.1150453657	0.962638533
269	0.1149754368	0.9626557661
270	0.1148366292	0.9627057423
271	0.1146558158	0.9627660583
272	0.1143301497	0.9628505007
273	0.1140905685	0.9629969825
274	0.1138803375	0.9630193856
275	0.1136446877	0.9631331244
276	0.1132680222	0.963262373
277	0.1130143179	0.9632968393
278	0.1128228482	0.9633381988
279	0.1126330345	0.9634105781
280	0.1124454692	0.9635070837
281	0.1122478333	0.9635811862
282	0.1120380466	0.9636259924
283	0.111713572	0.963727668
284	0.1115791736	0.9637707509
285	0.1114002383	0.9638258969
286	0.1112528882	0.9638310669
287	0.1110848111	0.963886213
288	0.1109037957	0.9639723787
289	0.1106826392	0.9640171849
290	0.1105199139	0.9641257537
291	0.1103815371	0.9641550501
292	0.1102443249	0.9641567734
293	0.110118671	0.9642291526
294	0.1099810347	0.9642929153
295	0.1097760948	0.9643325515
296	0.1096156044	0.9643566779
297	0.1094707315	0.9643687411
298	0.1093088678	0.9643945909
299	0.1091101144	0.9644652468
300	0.1086301779	0.9646513648
301	0.1084883006	0.9646875544
302	0.1082209108	0.9648357595
303	0.1078630874	0.9649563915
304	0.107696673	0.9649839646
305	0.1074730393	0.9650873634
306	0.1073270826	0.9651631893
307	0.1071842494	0.9652062722
308	0.1070437723	0.9652441851
309	0.1069567449	0.9652528017
310	0.1067313474	0.9653441374
311	0.1065091879	0.9654234099
312	0.1059715944	0.9655802315
313	0.1055811694	0.9656715672
314	0.1054602007	0.9657163734
315	0.1053584242	0.9657904759
316	0.1051781628	0.9658611318
317	0.1050893986	0.9659093847
318	0.1049148658	0.9659369577
319	0.1046101353	0.9659645307
320	0.1045273287	0.96603174
321	0.1044082247	0.9660696529
322	0.1042887774	0.9661437555
323	0.1041660518	0.966190285
324	0.1038550339	0.9663126403
325	0.103697916	0.9663781263
326	0.1035988726	0.9664143159
327	0.1034105264	0.9664505055
328	0.1032599786	0.9665142682
329	0.1029013205	0.9666676432
330	0.1027179624	0.9667469157
331	0.1023492404	0.9669416503
332	0.1021637013	0.9669657767
333	0.1019286102	0.9670157528
334	0.1016813885	0.9671312149
335	0.1015903625	0.9671570646
336	0.101365894	0.9672294439
337	0.1012369079	0.9672535703
338	0.1010507563	0.9673380127
339	0.1009110398	0.9673810956
340	0.1008111751	0.9673983287
341	0.1007277693	0.967400052
342	0.1006169589	0.967465538
343	0.1005436708	0.9674965577
344	0.1002617338	0.96759134
345	0.1001855849	0.9676258063
346	0.1000852287	0.9676878456
347	0.09980356768	0.9677860746
348	0.099729243	0.9678153709
349	0.09961581387	0.9678257108
350	0.0995248013	0.9678619004
351	0.09910941509	0.9680221687
352	0.09892155357	0.9680256154
353	0.09852627495	0.9681462474
354	0.09842795176	0.9681652039
355	0.09820163204	0.9682875592
356	0.09810410319	0.9683461519
357	0.09796120942	0.9683926814
358	0.09783336773	0.9684495508
359	0.09759493096	0.9685357166
360	0.09735965808	0.9686373921
361	0.09716184711	0.9687011548
362	0.09706395475	0.9687511309
363	0.096692264	0.9688562531
364	0.09658170931	0.9688528065
365	0.09650407936	0.9688821029
366	0.0964134303	0.9688734863
367	0.09627460247	0.9689458655
368	0.09607426712	0.9690285846
369	0.0959390946	0.9690509877
370	0.0954818305	0.9692060861
371	0.09531012506	0.9692405524
372	0.09475149503	0.9694938796
373	0.09439494387	0.9697006774
374	0.09410855047	0.9697558235
375	0.09395405799	0.9697678867
376	0.09386779127	0.9698126929
377	0.09375692019	0.9698850721
378	0.0936780718	0.9699023053
379	0.09360471648	0.9699126452
380	0.09331293099	0.9700384472
381	0.09322621325	0.9700350005
382	0.09310006121	0.9701056564
383	0.0930016909	0.9701676958
384	0.09289518196	0.9702021621
385	0.09274882136	0.9702504149
386	0.09263807818	0.9703176242
387	0.09252014555	0.9703710469
388	0.09239517829	0.9703951733
389	0.09231408152	0.9704348096
390	0.09215345645	0.9704244697
391	0.09174834955	0.9705330385
392	0.09164767699	0.9705692281
393	0.09148540939	0.9706088644
394	0.09142779278	0.9706485006
395	0.09119959492	0.9707243265
396	0.09111808078	0.9707639627
397	0.09096817931	0.9707587928
398	0.09081430614	0.9708294487
399	0.09064756869	0.9709121678
400	0.09057584244	0.9709104445
401	0.09031762794	0.9710345232
402	0.0902513611	0.9710741594
403	0.09020046272	0.9710896692
404	0.09007560317	0.9711499853
405	0.09002609826	0.9711672184
406	0.089941225	0.9712051313
407	0.0898458099	0.9712327044
408	0.08976478044	0.9712723406
409	0.08967703948	0.9712826805
410	0.08960647108	0.9713085302
411	0.0894864045	0.9713481665
412	0.08930786638	0.9713929727
413	0.08912150603	0.9714498421
414	0.0890745457	0.9715067114
415	0.08885626364	0.9716049404
416	0.08876348063	0.9716307901
