NetworkFilename,Strain,MouseID,Sex,Cage,DOB,Box,TestDate,Weight,TestTime,TestNum,Comments,Shipped,Tester,RoomOrigin,ShipDate,TestingSheetLink,TestingSheetLinkPath,TestingSheetName,CoatColor,LightIntensity,WhiteNoise,DrugDosed,DrugDosage,DontUseOFA,DontUsePSY,TestAssay,TestAssayNotes,TestDataset,TestID,MovieHyperlink,networkMovieFound,TimestampsFound,DistExportFound,networkEllfitFound,networkGroomFound,PredictedBaselineLength,PredictedNumberTracks,Groom_0_TD,Groom_0_ABL,Groom_0_NB,Groom_1_TD,Groom_1_ABL,Groom_1_NB,Groom_2_TD,Groom_2_ABL,Groom_2_NB,Groom_3_TD,Groom_3_ABL,Groom_3_NB,Groom_4_TD,Groom_4_ABL,Groom_4_NB,Groom_5_TD,Groom_5_ABL,Groom_5_NB,Run_0_TD,Run_0_ABL,Run_0_NB,Walk_0_TD,Walk_0_ABL,Walk_0_NB,Walk_1_TD,Walk_1_ABL,Walk_1_NB,CW-Turn_0_TD,CW-Turn_0_ABL,CW-Turn_0_NB,CCW-Turn_0_TD,CCW-Turn_0_ABL,CCW-Turn_0_NB,CCW-Turn_1_TD,CCW-Turn_1_ABL,CCW-Turn_1_NB,Point_0_TD,Point_0_ABL,Point_0_NB,Point_1_TD,Point_1_ABL,Point_1_NB,Rear_0_TD,Rear_0_ABL,Rear_0_NB,Rear_1_TD,Rear_1_ABL,Rear_1_NB,Rear_2_TD,Rear_2_ABL,Rear_2_NB,N/A_0_TD,N/A_0_ABL,N/A_0_NB,N/A_1_TD,N/A_1_ABL,N/A_1_NB,N/A_2_TD,N/A_2_ABL,N/A_2_NB
LL5-B2B/2015-12-21_BG/LL5-3_C3H.avi,C3H/HeJ,LL5-3_C3H,M,,2015/10/20,LL5-3,2015/12/21,24.7,10:55,1,Powered --- 9fps --- 3200s are okay --- Next to dropped cage Friday Before --- NA,Y,Brian Geuther,MP14,2015/12/17,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,C3H_NA_2015/12/21,Err:510,True,True,True,True,True,3320.033333,1,33.666666666666664,4.208333333333333,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.63333333333334,7.33030303030303,11.0,0.0,0.0,0.0,26.966666666666665,0.3172549019607843,85.0,20.0,0.20833333333333334,96.0,0.2,0.2,1.0,110.66666666666667,0.8645833333333334,128.0,28.033333333333335,0.7008333333333333,40.0,10.2,0.6375,16.0,4.166666666666667,0.21929824561403508,19.0,2.3,0.23,10.0,20.633333333333333,0.33825136612021856,61.0,1.3,0.26,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL4-B2B/2016-02-22_BG/LL4-2_BTBR_F.avi,BTBR T<+>ltpr3<tf>/J,LL4-2_BTBR_F,F,,2015/12/22,LL4-2,2016/02/22,23.2,10:50,1,NA --- NA --- NA --- NA --- NA,Y,Brian Geuther,AX8,2016/02/18,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,BTBR_F_NA_2016/02/22,Err:510,True,True,True,True,True,3328.65625,1,19.233333333333334,3.8466666666666667,5.0,3.2,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.46666666666667,0.3619047619047619,98.0,6.866666666666666,0.21458333333333332,32.0,0.0,0.0,0.0,91.66666666666667,0.7971014492753624,115.0,3.6,0.7200000000000001,5.0,29.3,0.6976190476190476,42.0,2.9,0.2230769230769231,13.0,1.3,0.21666666666666667,6.0,6.7,0.30454545454545456,22.0,2.8666666666666667,0.2866666666666667,10.0,0.0,0.0,0.0,4.366666666666666,0.27291666666666664,16.0,0.0,0.0,0.0,0.0,0.0,0.0
LL5-B2B/2015-12-21_BG/LL5-4_C3H.avi,C3H/HeJ,LL5-4_C3H,M,,2015/10/20,LL5-4,2015/12/21,25.7,10:55,1,Powered --- 9fps --- 3200s are okay --- Next to dropped cage Friday Before --- NA,Y,Brian Geuther,MP14,2015/12/17,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,C3H_NA_2015/12/21,Err:510,True,True,True,True,True,3329.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.333333333333336,0.28431372549019607,170.0,66.93333333333334,0.23819691577698696,281.0,7.8,0.2689655172413793,29.0,61.7,0.8012987012987013,77.0,10.066666666666666,0.719047619047619,14.0,7.6,0.6333333333333333,12.0,8.066666666666666,0.2372549019607843,34.0,11.233333333333333,0.2808333333333334,40.0,26.666666666666668,0.3921568627450981,68.0,8.833333333333334,0.30459770114942525,29.0,0.0,0.0,0.0,5.066666666666666,0.24126984126984127,21.0,0.0,0.0,0.0,0.0,0.0,0.0
LL5-B2B/2016-02-22_BG/LL5-4_BTBR_M.avi,BTBR T<+>ltpr3<tf>/J,LL5-4_BTBR_M,M,,2015/12/22,LL5-4,2016/02/22,29.0,10:55,1,Taken with VC++ Sentech --- NA --- NA --- NA --- NA,Y,Brian Geuther,AX8,2016/02/18,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,BTBR_M_NA_2016/02/22,Err:510,True,True,True,True,True,3330.07255,1,70.43333333333334,5.417948717948718,13.0,25.266666666666666,4.211111111111111,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.033333333333333,5.033333333333333,1.0,0.0,0.0,0.0,24.666666666666668,0.3288888888888889,75.0,4.433333333333334,0.20151515151515154,22.0,0.0,0.0,0.0,85.63333333333334,0.7382183908045977,116.0,0.0,0.0,0.0,39.2,0.6758620689655171,58.0,4.4,0.24444444444444444,18.0,0.4,0.2,2.0,7.033333333333333,0.3349206349206349,21.0,1.9666666666666666,0.24583333333333332,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL3-B2B/2016-01-19_BG/LL3-1_CAST.avi,CAST/EiJ,LL3-1_CAST,M,,2015/11/17,LL3-1,2016/01/19,14.8,10:50,1,Powered --- Weight Taken After --- NA --- NA --- NA,Y,Brian Geuther,AX1,2016/01/14,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,CAST_NA_2016/01/19,Err:510,True,True,True,True,True,3331.6333329999998,1,58.5,5.3181818181818175,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.4,144.4,1.0,0.0,0.0,0.0,113.3,0.4180811808118081,271.0,3.6666666666666665,0.21568627450980393,17.0,0.0,0.0,0.0,119.3,0.8342657342657342,143.0,18.266666666666666,0.6765432098765433,27.0,3.066666666666667,0.6133333333333333,5.0,3.1333333333333333,0.22380952380952382,14.0,0.2,0.2,1.0,59.93333333333333,0.4022371364653244,149.0,2.7666666666666666,0.3074074074074074,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL3-B2B/2016-02-23_BG/LL3-2_B6AF1_F.avi,B6AF1/J,LL3-2_B6AF1_F,F,,2015/12/22,LL3-2,2016/02/23,19.3,10:45,1,NA --- NA --- NA --- NA --- NA,Y,Brian Geuther,AX1,2016/02/18,None,None,None,Black,500-600,False,,0.0,,,OFA,,StrainSurvey,B6AF1_F_NA_2016/02/23,Err:510,True,True,True,True,True,3334.65625,1,4.2,4.2,1.0,5.5,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06666666666667,0.3340277777777778,96.0,7.4,0.20555555555555557,36.0,0.0,0.0,0.0,97.7,0.7816,125.0,5.866666666666666,0.7333333333333333,8.0,4.466666666666667,0.638095238095238,7.0,15.9,0.260655737704918,61.0,0.43333333333333335,0.21666666666666667,2.0,45.86666666666667,0.3611548556430446,127.0,2.533333333333333,0.2533333333333333,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL4-B2B/2016-02-22_BG/LL4-4_BTBR_F.avi,BTBR T<+>ltpr3<tf>/J,LL4-4_BTBR_F,F,,2015/12/22,LL4-4,2016/02/22,25.0,10:50,1,NA --- Kit mark on forehead? --- NA --- NA --- NA,Y,Brian Geuther,AX8,2016/02/18,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,BTBR_F_NA_2016/02/22,Err:510,True,True,True,True,True,3334.9375,1,76.6,4.031578947368421,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.266666666666666,4.816666666666666,4.0,0.0,0.0,0.0,32.86666666666667,0.3071651090342679,107.0,1.1,0.22,5.0,0.0,0.0,0.0,55.63333333333333,0.7132478632478633,78.0,2.8,0.7,4.0,18.233333333333334,0.7012820512820513,26.0,4.033333333333333,0.2372549019607843,17.0,0.23333333333333334,0.23333333333333334,1.0,7.666666666666667,0.3194444444444445,24.0,1.5,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LL5-B2B/2016-02-22_BG/LL5-2_BTBR_M.avi,BTBR T<+>ltpr3<tf>/J,LL5-2_BTBR_M,M,,2015/12/22,LL5-2,2016/02/22,31.6,10:55,1,Taken with VC++ Sentech --- NA --- NA --- NA --- NA,Y,Brian Geuther,AX8,2016/02/18,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,BTBR_M_NA_2016/02/22,Err:510,True,True,True,True,True,3336.5533100000002,1,76.9,4.80625,16.0,31.3,6.260000000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6333333333333333,3.6333333333333333,1.0,0.0,0.0,0.0,27.766666666666666,0.3266666666666667,85.0,9.966666666666667,0.2076388888888889,48.0,2.4,0.2181818181818182,11.0,94.5,0.8008474576271187,118.0,4.7,0.6714285714285714,7.0,37.13333333333333,0.7281045751633987,51.0,4.9,0.28823529411764703,17.0,8.1,0.26999999999999996,30.0,21.933333333333334,0.3781609195402299,58.0,11.7,0.29250000000000004,40.0,0.0,0.0,0.0,2.4,0.24000000000000002,10.0,0.0,0.0,0.0,0.0,0.0,0.0
LL5-B2B/2015-12-21_BG/LL5-1_C3H.avi,C3H/HeJ,LL5-1_C3H,M,,2015/10/20,LL5-1,2015/12/21,24.8,10:55,1,Powered --- 9fps --- 3200s are okay --- Next to dropped cage Friday Before --- NA,Y,Brian Geuther,MP14,2015/12/17,None,None,None,Agouti,500-600,False,,0.0,,,OFA,,StrainSurvey,C3H_NA_2015/12/21,Err:510,True,True,True,True,True,3337.866666,1,3.6333333333333333,3.6333333333333333,1.0,3.3666666666666667,3.3666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.28513513513513516,74.0,36.266666666666666,0.2145956607495069,169.0,3.8666666666666667,0.21481481481481482,18.0,122.5,0.881294964028777,139.0,16.166666666666668,0.7698412698412699,21.0,11.266666666666667,0.6627450980392157,17.0,5.433333333333334,0.2263888888888889,24.0,6.666666666666667,0.2380952380952381,28.0,17.866666666666667,0.319047619047619,56.0,3.1,0.25833333333333336,12.0,0.3,0.3,1.0,0.9333333333333333,0.23333333333333334,4.0,0.2,0.2,1.0,0.0,0.0,0.0
LL4-B2B/2016-03-01_BG/LL4-2_BLKS_F.avi,C57BLKS/J,LL4-2_BLKS_F,F,,2015/12/29,LL4-2,2016/03/01,22.6,10:45,1,NA --- NA --- NA --- NA --- NA,Y,Brian Geuther,AX4,2016/02/25,None,None,None,Black,500-600,False,,0.0,,,OFA,,StrainSurvey,BLKS_F_NA_2016/03/01,Err:510,True,True,True,True,True,3341.09375,1,11.9,5.95,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.433333333333334,3.4777777777777774,3.0,0.0,0.0,0.0,35.03333333333333,0.3274143302180685,107.0,17.266666666666666,0.21856540084388187,79.0,0.0,0.0,0.0,94.7,0.7576,125.0,1.2,0.6,2.0,9.633333333333333,0.6880952380952381,14.0,5.733333333333333,0.2205128205128205,26.0,0.0,0.0,0.0,16.366666666666667,0.32733333333333337,50.0,0.3,0.3,1.0,0.0,0.0,0.0,0.4,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
