NetworkFilename,Strain,MouseID,Sex,Cage,DOB,Box,TestDate,Weight,TestTime,TestNum,Comments,Shipped,Tester,RoomOrigin,ShipDate,TestingSheetLink,TestingSheetLinkPath,TestingSheetName,CoatColor,LightIntensity,WhiteNoise,DrugDosed,DrugDosage,DontUseOFA,DontUsePSY,TestAssay,TestAssayNotes,TestDataset,TestID,MovieHyperlink,networkMovieFound,TimestampsFound,DistExportFound,networkEllfitFound,networkGroomFound,networkPointsFound,PredictedBaselineLength,PredictedNumberTracks
LL1-B2B/2016-04-18_SPD/LL1-4_000690-M-MP13-8-42416-4-S080.avi,129P3/J,LL1-4_000690-M-MP13-8-42416-4-S080,M,S080,2/16/16,LL1-4,4/18/16,21,10:25,1,Taken with VC++ Sentech --- NA --- NA --- NA --- NA,Y,Sean Deats,MP13,4/14/16,None,None,None,Off White,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,000690-M-MP13-8-42416-4-S080_S080_2016/04/18,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3908.055686,2
LL1-B2B/2016-12-22_SPD/LL1-4_003719-M-F29-4.28571428571429-42647-3-S318.avi,MSM/MsJ,LL1-4_003719-M-F29-4.28571428571429-42647-3-S318,M,S318,10/4/16,LL1-4,12/22/16,12.3,14:45,1,NA --- NA --- NA --- NA --- NA,Y,Sean Deats,F29,11/3/16,None,None,None,Dark Brown,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,003719-M-F29-4.28571428571429-42647-3-S318_S318_2016/12/22,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3701.741001,2
LL1-B2B/2016-12-28_SPD/LL1-4_003719-F-F29-4.28571428571429-42647-1-S328.avi,MSM/MsJ,LL1-4_003719-F-F29-4.28571428571429-42647-1-S328,F,S328,10/4/16,LL1-4,12/28/16,10,14:35,1,NA --- WILD --- NA --- NA --- NA,Y,Sean Deats,F29,11/3/16,None,None,None,Dark Brown,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,003719-F-F29-4.28571428571429-42647-1-S328_S328_2016/12/28,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3796.529983,1
LL1-B2B/2017-01-04_SPD/LL1-2_004660-F-AX10-3.42857142857143-42654-2-S327.avi,PWD/PhJ,LL1-2_004660-F-AX10-3.42857142857143-42654-2-S327,F,S327,10/11/16,LL1-2,1/4/17,14.3,13:55,1,NA --- WILD. --- NA --- NA --- NA,Y,Sean Deats,AX10,11/4/16,None,None,None,Agouti,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,004660-F-AX10-3.42857142857143-42654-2-S327_S327_2017/01/04,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3671.97984,2
LL1-B2B/2017-01-11_SPD/LL1-2_004660-M-AX10-3.42857142857143-42654-2-S325.avi,PWD/PhJ,LL1-2_004660-M-AX10-3.42857142857143-42654-2-S325,M,S325,10/11/16,LL1-2,1/11/17,17.8,14:40,1,NA --- WILD --- NA --- NA --- NA,Y,Sean Deats,AX10,11/4/16,None,None,None,Agouti,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,004660-M-AX10-3.42857142857143-42654-2-S325_S325_2017/01/11,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3716.841801,2
LL1-B2B/2017-01-12_SPD/LL1-1_001144-F-F29-4-42661-1-S344.avi,CZECHII/EiJ,LL1-1_001144-F-F29-4-42661-1-S344,F,S344,10/18/16,LL1-1,1/12/17,12.2,13:35,1,NA --- WILD --- NA --- NA --- NA,Y,Sean Deats,F29,11/15/16,None,None,None,Agouti,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,001144-F-F29-4-42661-1-S344_S344_2017/01/12,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3709.826221,2
LL1-B2B/2017-01-12_SPD/LL1-3_001144-F-F29-4-42661-3-S344.avi,CZECHII/EiJ,LL1-3_001144-F-F29-4-42661-3-S344,F,S344,10/18/16,LL1-3,1/12/17,17.2,13:35,1,NA --- WILD --- NA --- NA --- NA,Y,Sean Deats,F29,11/15/16,None,None,None,Agouti,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,001144-F-F29-4-42661-3-S344_S344_2017/01/12,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3800.619784,2
LL1-B2B/2017-01-12_SPD/LL1-4_001144-F-F29-4-42661-4-S344.avi,CZECHII/EiJ,LL1-4_001144-F-F29-4-42661-4-S344,F,S344,10/18/16,LL1-4,1/12/17,14.1,13:35,1,NA --- WILD --- NA --- NA --- NA,Y,Sean Deats,F29,11/15/16,None,None,None,Agouti,500-600,FALSE,COCAINE,20,NA,NA,PSY,NA,StrainSurvey,001144-F-F29-4-42661-4-S344_S344_2017/01/12,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3791.276163,2
LL2-B2B/2016-01-12_BG/LL2-4_C3HeB.avi,C3HeB/FeJ,LL2-4_C3HeB,M,NA,11/10/15,LL2-4,1/12/16,28,10:45,1,Powered --- NA --- NA --- NA --- NA,Y,Brian Geuther,MP16,1/7/16,None,None,None,Agouti,500-600,FALSE,NA,0,NA,NA,OFA,NA,StrainSurvey,C3HeB_NA_2016/01/12,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3561.1,1
LL2-B2B/2016-03-22_SPD/LL2-4_C3H_HeO.avi,C3H/HeOuJ,LL2-4_C3H_HeO,M,NA,1/19/16,LL2-4,3/22/16,26.1,12:30,1,Taken with VC++ Sentech --- Fighting in cage before weighing --- Ready to run at 11:55:00 AM but had technical issues. --- NA --- NA,Y,Sean Deats,MP14,3/17/16,None,None,None,Agouti,500-600,FALSE,NA,0,NA,NA,OFA,NA,StrainSurvey,C3H_HeO_NA_2016/03/22,MovieLink,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3731.313401,1
