iter	Accuracy	MultiClass
0	0.4812243944	2.762893753
1	0.5247854194	2.471743562
2	0.5900584158	2.261753894
3	0.6204595373	2.088830235
4	0.6417259911	1.955087841
5	0.6694913934	1.836271411
6	0.6807788769	1.734748429
7	0.6903092141	1.645447252
8	0.7020422151	1.573673878
9	0.7142269647	1.493942118
10	0.720619986	1.428204035
11	0.7339761664	1.363755872
12	0.7420796012	1.306504938
13	0.749740634	1.255946296
14	0.75748267	1.208690258
15	0.7618755355	1.168810703
16	0.7652745541	1.134660329
17	0.7706238804	1.098567673
18	0.7749762443	1.065152555
19	0.7809081704	1.035147905
20	0.7857278604	1.005736687
21	0.7896191292	0.9764550261
22	0.7942051562	0.9515279875
23	0.7964109354	0.9266858199
24	0.7996354856	0.9047669281
25	0.8017758392	0.8869798085
26	0.8046919542	0.8667981624
27	0.8084181011	0.8446672448
28	0.8113404471	0.8250434259
29	0.8132471376	0.8090787059
30	0.8155806527	0.7922798657
31	0.8173159903	0.7760719957
32	0.8197460861	0.7603580299
33	0.8212352987	0.7474267261
34	0.8244442714	0.7330060824
35	0.8257340914	0.7218017573
36	0.8275161617	0.7099390096
37	0.829949373	0.6991825904
38	0.832030532	0.6865442458
39	0.8338094867	0.6750302526
40	0.8349092608	0.6639744333
41	0.8361554638	0.6558249247
42	0.8372957395	0.6477774506
43	0.8382522003	0.6390291686
44	0.8391307734	0.6305944894
45	0.8406822961	0.6216883501
46	0.8419004595	0.6131956797
47	0.8428849599	0.6059255933
48	0.8440813147	0.5971829722
49	0.8453586728	0.589469209
50	0.84647714	0.5826363493
51	0.8472747099	0.5763548727
52	0.8487763845	0.5686874646
53	0.8496985747	0.5633937653
54	0.8505491082	0.5582339435
55	0.8517735026	0.551627351
56	0.8525523795	0.5461738365
57	0.8536833087	0.5409277216
58	0.85445907	0.5354965837
59	0.8554498014	0.5302228986
60	0.8562317938	0.5248660298
61	0.8570698653	0.5199606661
62	0.8576275411	0.5159176706
63	0.8585185762	0.5117210439
64	0.8593192616	0.5083214489
65	0.8602352208	0.5032659534
66	0.8612010281	0.4988013376
67	0.8622914557	0.4941523404
68	0.8630672171	0.4902407348
69	0.8642978425	0.4850605989
70	0.8652293792	0.4807889551
71	0.8660207181	0.4768721941
72	0.8664631202	0.4735675843
73	0.867235766	0.4696325846
74	0.8679398707	0.4661641331
75	0.8685162396	0.4629225407
76	0.8696315912	0.4590374365
77	0.8700397227	0.4560425378
78	0.8706908638	0.4530177538
79	0.8712672327	0.4503942016
80	0.871840486	0.4478381241
81	0.8724698185	0.4452190694
82	0.8728187554	0.4422210532
83	0.8736100942	0.4386318115
84	0.8739777241	0.4359897021
85	0.8746506737	0.4329067627
86	0.874959109	0.4308741984
87	0.8756351741	0.4284283754
88	0.876002804	0.4261021309
89	0.8763704338	0.4235431708
90	0.8770963471	0.4210754736
91	0.8773611652	0.4195049448
92	0.8780621544	0.4169101507
93	0.8786478698	0.4143058379
94	0.8791276579	0.4119551812
95	0.8796417166	0.4099576667
96	0.8801588909	0.4079179539
97	0.8805919464	0.4057112751
98	0.8810250019	0.4029806677
99	0.881486097	0.4010920813
100	0.8822307033	0.3986136414
101	0.8826762209	0.3964869672
102	0.8830750058	0.3945018397
103	0.8834239427	0.3929472977
104	0.883978503	0.3910605436
105	0.8843243243	0.389555577
106	0.8850315445	0.3868880521
107	0.8852402835	0.3852357487
108	0.8856172599	0.3834109501
109	0.8859786588	0.3818501715
110	0.8863867902	0.3802060414
111	0.8865955292	0.3782629051
112	0.8870971259	0.3766704485
113	0.8874149077	0.3750706001
114	0.8878043461	0.3729449452
115	0.8881969001	0.3714190539
116	0.8888511566	0.3694421965
117	0.8891595919	0.3677058888
118	0.8893745619	0.3663831366
119	0.8896829971	0.3648429402
120	0.8900724355	0.3630979571
121	0.8902967521	0.3618177282
122	0.8907298076	0.3600967203
123	0.8910662824	0.3587380658
124	0.8913934107	0.3575303477
125	0.8920165122	0.3558158582
126	0.8923436405	0.3545573935
127	0.8927361944	0.3532826591
128	0.8928421217	0.3518122951
129	0.8931505569	0.350224698
130	0.8936396916	0.3489078869
131	0.8938733546	0.3477088305
132	0.8942627931	0.346406221
133	0.8945276112	0.3453856394
134	0.8949793598	0.3436629071
135	0.8954934185	0.3421160292
136	0.8956803489	0.3411593491
137	0.895914012	0.3399868064
138	0.8961725991	0.3388497145
139	0.8963938001	0.3375402181
140	0.8968112781	0.3363555639
