iter	Passed	Remaining
0	1422	2131625
1	2615	1958691
2	3838	1915400
3	5262	1968262
4	6767	2023356
5	8025	1998407
6	9226	1967883
7	10558	1969128
8	11796	1954344
9	13044	1943673
10	14160	1916839
11	15392	1908654
12	16612	1900254
13	17783	1887547
14	18972	1878317
15	20177	1871488
16	21545	1879550
17	22723	1870895
18	23999	1870684
19	25160	1861878
20	26313	1853192
21	27472	1845628
22	28687	1842224
23	29895	1838561
24	31034	1831057
25	32296	1830937
26	33481	1826618
27	34793	1829156
28	35966	1824357
29	37198	1822748
30	38386	1819021
31	39714	1821905
32	41074	1825928
33	42273	1822744
34	43510	1821226
35	44711	1818250
36	45927	1815987
37	47120	1812882
38	48269	1808236
39	49485	1806209
40	50642	1802129
41	51831	1799297
42	53065	1798056
43	54259	1795483
44	55446	1792765
45	56635	1790160
46	57797	1786789
47	58966	1783746
48	60162	1781547
49	61371	1779766
50	62588	1778243
51	63724	1774469
52	64938	1772956
53	66168	1771854
54	67487	1773076
55	68705	1771624
56	69914	1769946
57	71155	1769062
58	72231	1764153
59	73342	1760226
60	74466	1756685
61	75588	1753162
62	76814	1752112
63	78080	1751922
64	79263	1749901
65	80511	1749299
66	81753	1748550
67	82978	1747432
68	84140	1745010
69	85393	1744476
70	86696	1744910
71	87888	1743130
72	89129	1742305
73	90388	1741817
74	91529	1739062
75	92762	1738075
76	93875	1734875
77	95075	1733307
78	96246	1731219
79	97414	1729104
80	98655	1728302
81	99839	1726492
82	101034	1724897
83	102231	1723337
84	103459	1722291
85	104734	1722036
86	105975	1721181
87	107189	1719899
88	108425	1718971
89	109616	1717331
90	110767	1715066
91	111916	1712807
92	113096	1711044
93	114311	1709811
94	115499	1708183
95	116753	1707513
96	117908	1705423
97	119117	1704105
98	120361	1703296
99	121643	1703014
100	122838	1701495
101	124081	1700640
102	125329	1699862
103	126582	1699120
104	127769	1697511
105	128915	1695358
106	130106	1693814
107	131216	1691228
108	132454	1690316
109	133685	1689302
110	134860	1687575
111	136085	1686493
112	137302	1685300
113	138494	1683796
114	139629	1681626
115	140731	1679071
116	141900	1677340
117	143108	1676069
118	144261	1674165
119	145437	1672533
120	146687	1671752
121	147931	1670894
122	149075	1668923
123	150309	1667952
124	151509	1666604
125	152688	1665026
126	153886	1663669
127	155158	1663103
128	156297	1661112
129	157462	1659416
130	158777	1659287
131	160024	1658440
132	161222	1657079
133	162439	1655911
134	163683	1655021
135	164921	1654061
136	166168	1653194
137	167327	1651446
138	168596	1650794
139	169887	1650337
140	171081	1648939
141	172262	1647411
142	173577	1647162
143	174839	1646403
144	176002	1644715
145	177264	1643948
146	178492	1642860
147	179671	1641325
148	180779	1639151
149	181984	1637857
150	183279	1637373
151	184433	1635630
152	185704	1634924
153	186883	1633406
154	188084	1632083
155	189326	1631120
156	190532	1629838
157	191745	1628620
158	193024	1627959
159	194291	1627187
160	195494	1625886
161	196666	1624321
162	197843	1622803
163	199013	1621228
164	200091	1618920
165	201317	1617820
166	202465	1616089
167	203684	1614925
168	204825	1613154
169	206050	1612043
170	207353	1611534
171	208501	1609823
172	209660	1608206
173	210850	1606823
174	212079	1605745
175	213241	1604156
176	214402	1602565
177	215604	1601283
178	216737	1599499
179	218002	1598685
180	219224	1597556
181	220450	1596448
182	221745	1595843
183	222884	1594111
184	224031	1592442
185	225296	1591609
186	226437	1589908
187	227620	1588497
188	228798	1587061
189	230037	1586047
190	231260	1584924
191	232510	1583974
192	233728	1582814
193	234926	1581516
194	236172	1580536
195	237435	1579672
196	238602	1578168
197	239742	1576487
198	240920	1575061
199	242072	1573468
200	243270	1572179
201	244525	1571258
